KTVUHD,725,"2,1",31,41
KTVU-DT,725,"2,2",41,44
KRON-SD,731,"4,1",31,34
KRON-HD,731,"4,2",41,44
"KPIX DT",563,"5,1",31,34
KGO-DT,533,"7,1",31,34
KGO-DT,533,"7,2",41,44
KQED-HD,569,"9,1",31,34
ENCORE,569,"9,2",41,44
WORLD,569,"9,3",51,54
LIFE,569,"9,4",61,64
KIDS,569,"9,5",71,74
KNTV-HD,207,"11,1",41,44
"NBC Wea",207,"11,2",51,54
KDTV-DT,695,"14,1",11,14
KBWB-HD,503,"20,1",31,34
KBWB-SD,503,"20,2",41,44
"KTSF D1",551,"26,1",21,24
"KTSF D2",551,"26,2",31,34
KMTP-DT,587,"32,1",31,34
KICU-HD,701,"36,1",31,34
KICU-SD,701,"36,2",41,44
KCNS-DT,623,"38,1",41,44
KCSM-DT,647,"43,1",21,24
JazzTV,647,"43,2",31,34
KBHK-DT,659,"45,1",11,14
KSTS-DT,683,"48,1",31,34
KNTV-DT,683,"48,2",41,44
KTEH-DT,689,"54,1",31,34
KKPX-DT,635,"65,1",41,44
PaxEast,635,"65,2",51,54
Worship,635,"65,3",61,64
Faith,635,"65,4",71,74
"KFSF -",593,"66,1",11,14
